Language,Language (local),Wiki,Articles,Wiki Size (bytes),Uncompressed Wiki Size (bytes),Tokens,In mBERT?
Papiamento,Papiamentu,pap,"2,004","1,418,320","1,774,052","363,839",n
Emilian-Romagnol,emiliàn e rumagnòl,eml,"12,527","7,957,934","1,530,600","361,147",n
Gorontalo,Bahasa Hulontalo,gor,"9,457","2,451,431","2,058,128","351,338",n
Aymara,Aymar aru,ay,"4,851","2,116,582","1,570,792","330,487",n
Võro,Võro,fiu-vro,"5,596","1,965,097","1,934,082","329,224",n
Hakka,客家語/Hak-kâ-ngî,hak,"9,374","3,570,082","2,107,086","317,553",n
Northern Sami,davvisámegiella,se,"7,697","3,572,093","2,079,111","313,093",n
Shona,chiShona,sn,"6,109","2,645,456","2,143,347","311,302",n
Karakalpak,Qaraqalpaqsha,kaa,"1,865","1,333,805","1,629,901","309,277",n
Livvi-Karelian,Livvinkarjala,olo,"3,413","1,691,839","1,987,592","302,571",n
Lower Sorbian,dolnoserbski,dsb,"3,283","3,554,566","1,689,601","296,217",n
Cornish,kernowek,kw,"4,226","1,973,401","1,408,616","289,063",n
Anglo-Saxon,Ænglisc,ang,"3,298","3,978,044","1,698,923","289,028",n
Karachay-Balkar,къарачай-малкъар,krc,"2,048","3,033,336","3,318,284","283,922",n
Udmurt,удмурт,udm,"4,953","3,014,382","2,788,335","269,177",n
Tswana,Setswana,tn,712,"1,401,239","1,358,107","269,082",n
Northern Sotho,Sesotho sa Leboa,nso,"8,207","2,181,130","1,549,083","266,353",n
Igbo,Igbo,ig,"1,584","1,300,545","1,189,968","255,216",n
Crimean Tatar,qırımtatarca,crh,"7,752","4,177,801","1,548,749","250,857",n
Oromo,Oromoo,om,857,"1,214,021","1,550,163","241,918",n
Awadhi,अवधी,awa,"2,410","2,168,628","2,147,084","241,455",n
Komi-Permyak,Перем Коми,koi,"3,452","2,116,297","2,267,081","236,283",n
Guianan Creole,kriyòl gwiyannen,gcr,"1,033","837,076","1,119,005","213,760",n
Pangasinan,Pangasinan,pag,"2,663","1,474,767","1,080,204","209,788",n
Moroccan Arabic,الدارجة,ary,"2,766","2,522,932","1,808,528","208,252",n
Hawaiian,Hawaiʻi,haw,"2,291","948,186","1,022,491","206,395",n
Xhosa,isiXhosa,xh,"1,055","1,475,198","1,494,796","206,106",n
Kabardian,Адыгэбзэ,kbd,"1,586","1,610,406","2,267,142","202,069",n
Tetum,tetun,tet,"1,479","1,198,696","1,056,369","199,768",n
Franco-Provençal,arpetan,frp,"4,124","2,285,202","951,115","197,853",n
Zulu,isiZulu,zu,"4,379","2,218,600","1,472,122","196,016",n
Avar,авар,av,"2,453","5,192,957","2,331,164","190,920",n
Buginese,ᨅᨔ ᨕᨘᨁᨗ,bug,"14,139","1,676,771","1,384,927","187,453",n
Jamaican Patois,Patois,jam,"1,661","812,906","933,688","183,229",n
Lingala,lingála,ln,"3,176","1,773,537","944,675","177,548",n
Ladin,Ladin,lld,"1,043","730,747","850,680","176,965",n
Gagauz,Gagauz,gag,"2,726","1,993,021","987,964","154,830",n
Lojban,la .lojban.,jbo,"1,257","1,057,064","591,688","152,536",n
Samoan,Gagana Samoa,sm,855,"777,410","628,678","143,609",n
Chewa,Chi-Chewa,ny,734,"1,480,215","868,664","142,176",n
Kinyarwanda,Kinyarwanda,rw,"1,903","925,963","757,257","138,225",n
Aromanian,armãneashti,roa-rup,"1,234","946,552","798,057","131,866",n
Gan,贛語,gan,"6,435","3,363,137","1,398,811","123,568",n
Pennsylvania German,Deitsch,pdc,"1,905","1,074,916","622,790","113,901",n
Tsonga,Xitsonga,ts,700,"1,602,742","619,936","113,382",n
Akan,Akan,ak,927,"597,760","568,013","113,207",n
Tongan,lea faka-Tonga,to,"1,741","683,299","541,047","111,971",n
Novial,Novial,nov,"1,680","1,109,139","579,091","109,769",n
Dzongkha,ཇོང་ཁ,dz,219,"365,911","586,911","108,571",n
Sotho,Sesotho,st,788,"652,745","553,556","107,833",n
Sranan Tongo,Sranantongo,srn,"1,071","620,325","455,702","99,155",n
Latgalian,latgaļu,ltg,"1,001","809,787","568,953","94,891",n
Moksha,мокшень,mdf,"1,196","1,091,070","994,814","92,642",n
Abkhazian,Аҧсшәа,ab,"6,086","1,606,062","872,148","91,931",n
Dinka,Thuɔŋjäŋ,din,116,"486,193","442,634","90,760",n
Gothic,𐌲𐌿𐍄𐌹𐍃𐌺,got,829,"649,443","960,578","90,387",n
Atikamekw,Atikamekw,atj,"1,266","530,749","566,939","88,581",n
Ingush,ГӀалгӀай,inh,"1,497","2,742,690","763,994","80,004",n
Kalmyk,хальмг,xal,"2,086","1,552,762","732,200","77,142",n
Zhuang,Vahcuengh,za,"1,952","739,570","500,867","74,933",n
Fijian,Na Vosa Vakaviti,fj,"1,095","735,878","365,495","73,588",n
Fula,Fulfulde,ff,272,"491,632","459,755","73,460",n
Aramaic,ܐܪܡܝܐ,arc,"1,764","1,002,952","523,976","61,315",n
Pali,पालि,pi,"2,543","589,046","504,316","60,957",n
Twi,Twi,tw,708,"430,433","285,106","56,889",n
Kirundi,Kirundi,rn,617,"782,138","301,899","56,508",n
Tok Pisin,Tok Pisin,tpi,"1,625","1,366,829","284,831","55,962",n
Bambara,bamanankan,bm,669,"562,795","268,524","55,229",n
Pontic Greek,Ποντιακά,pnt,469,"521,833","463,172","50,790",n
Romani,romani čhib,rmy,677,"514,094","251,402","46,633",n
Cherokee,ᏣᎳᎩ,chr,917,"600,854","384,829","46,138",n
Swazi,SiSwati,ss,518,"793,312","320,138","43,463",n
Old Church Slavonic,словѣньскъ / ⰔⰎⰑⰂⰡⰐⰠⰔⰍⰟ,cu,744,"577,214","459,043","43,078",n
Bislama,Bislama,bi,"1,232","412,703","196,454","39,200",n
Kikuyu,Gĩkũyũ,ki,"1,366","351,498","213,247","39,132",n
